Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Leto roc.  stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci
R2;413;1081;MOSTE - DUPLICA;0;4.120;230;Kriz;QLD6; ;10.084;75;8.786;32;736;152;166;46;91
R2;414;1349;KAMNIK - TUHINJ;0;15.600;376;Laze;QLD6; ;3.341;43;2.840;25;261;51;66;13;42
R2;414;1349;TUHINJ - LOCICA;15.600;28.318;41;Locica;QLD6; ;1.854;46;1.469;8;181;47;47;10;46
R2;415;1216;ZELODNIK - KRTINA;0;1.000;;;P;;3.700;30;2.990;50;400;75;75;35;45
R2;415;1216;KRTINA - MORAVCE;1.000;9.000;304;Krtina;QLD6; ;6.227;31;5.622;33;313;51;111;29;37
R2;415;1216;MORAVCE - DRTIJA;9.000;11.080;;;P;;2.100;25;1.858;17;110;40;25;5;20
R2;415;1217;DRTIJA - TRATA;0;7.080;;;P;;2.000;20;1.705;35;100;50;45;15;30
R2;415;1217;TRATA - IZLAKE;7.080;15.089;305;Kandrse;QLD5; ;1.180;19;999;7;56;18;38;19;24
R2;416;1346;LITIJA - SMARTNO;0;2.670;391;Litija;QLD6; ;3.684;48;3.271;9;205;44;74;20;13
R2;416;1165;SMARTNO PRI LITIJI ;0;260;;;P;;5.100;30;4.580;10;350;70;50;5;5
R2;416;1347;SMARTNO - RADOHOVA VAS;0;14.746;375;Crni Potok;QLD5; ;1.189;34;1.003;4;63;28;48;5;4
R2;416;1425;GRM;0;750;;;P;;1.500;10;715;15;410;165;75;45;65
R2;416;1348;GRM - BIC;0;2.951;;;P;;1.000;7;243;15;400;160;85;30;60
R2;417;1190;SMARTNO/ LITIJI - M.KOSTREVICA;0;1.500;284;Mala Kostrevnica;QLD5; ;900;13;769;3;48;24;40;2;1
R2;417;1190;M. KOSTREVICA - LJUBEZ V LAZIH;1.500;8.509;;;P;;800;5;757;3;10;20;5;0;0
R2;417;1187;LJUBEZ V LAZIH - MORAVCE;0;6.310;282;Moravce;ROCNO;06x4;960;20;865;3;45;15;10;1;1
R2;417;4326;MORAVCE - TIHABOJ-MIRNA;0;11.922;182;Tihaboj;ROCNO;06x4;500;8;432;6;40;8;5;0;1
R2;418;1199;MOKRONOG - ZBURE;0;10.475;407;Zbure;QLD3; ;1.264;28;1.049;15;77;21;39;14;21
R2;418;1200;ZBURE - SKOCJAN;0;3.940;291;Skocjan 1;ROCNO;07x1;2.100;20;1.753;35;155;57;45;15;20
R2;418;1201;SKOCJAN - DOBRUSKA VAS;0;3.281;416;Dobruska vas;QLD5; ;3.537;27;3.112;26;171;63;107;12;19
R2;418;1202;DOBRUSKA V. - SENTJERNEJ;0;5.704;293;Drama;QLD5; ;2.557;18;2.204;8;141;64;80;19;23
R2;419;1203;SOTESKA - STRAZA;0;5.440;;;P;;6.300;25;5.735;50;350;60;45;15;20
R2;419;1203;STRAZA - NM DRSKA;5.440;12.230;294;Potok;QLD5; ;5.906;78;5.271;44;337;66;82;13;15
R2;419;1203;NM DRSKA - NM ZABJA VAS;12.230;14.471;;;P;;16.000;55;15.130;45;550;75;85;25;35
R2;419;1204;NOVO MESTO - RATEZ;0;6.160;476;Mali Slatnik;ROCNO;07x1;6.800;50;6.005;75;385;110;120;30;25
R2;419;1204;RATEZ - SENTJERNEJ;6.160;15.626;295;Mokro Polje;QLD3; ;3.029;59;2.613;28;112;81;96;24;16
R2;419;1205;SENTJERNEJ - KOSTANJEVICA;0;7.000;683;Sentjernej;QLD3; ;3.695;75;3.339;37;143;38;44;11;8
R2;419;1205;KOSTANJEVICA - KRIZAJ;7.000;11.325;296;Malo Mrasevo 2;QLD6; ;2.637;32;2.317;30;148;39;49;10;12
R2;419;1206;KRIZAJ - CATEZ OB SAVI;0;12.868;297;Zupeca vas;QLD3; ;2.977;26;2.600;44;189;66;32;12;8
R2;420;1335;BREZICE - DOBOVA;0;4.500;368;Mostec;QLD6; ;3.294;21;2.986;10;190;34;40;5;8
R2;420;1335;DOBOVA - M.P. RIGONCE;4.500;6.688;676;MP Rigonce;QLD; ;897;9;843;2;29;7;6;1;0
R2;421;2506;RUCETNA VAS - STREKLJEVEC;0;7.209;460;Semic;QLD5; ;2.443;19;2.175;12;120;39;56;11;11
R2;421;2507;STREKLJEVEC - JUGORJE;0;5.890;469;Osojnik;QLD5; ;972;9;822;6;45;28;40;11;11
R2;422;1333;PODSREDA - SENOVO;0;7.000;365;Veliki Kamen;QLD5; ;1.250;22;1.071;8;58;29;44;8;10
R2;422;1333;SENOVO - BRESTANICA;7.000;16.154;364;Senovo;QLD5; ;5.436;46;4.907;26;264;63;96;15;19
R2;423;1226;SENTJUR - CRNOLICA;0;2.330;757;Crnolica;ROCNO;09x1;8.405;64;7.851;37;201;141;79;13;19
R2;423;1281;CRNOLICA - LESICNO;0;18.149;271;Jelce;QLD5; ;1.306;15;1.137;12;80;23;30;3;6
R2;423;1282;LESICNO - SONOVO;0;3.300;292;Sonovo;ROCNO;06x4;1.300;15;1.120;25;85;25;20;4;6
R2;423;1282;SONOVO - PODSREDA;3.300;10.020;333;Kozje;QLD5; ;1.245;16;1.054;12;90;36;27;4;6
R2;423;1283;PODSREDA - BISTRICA;0;6.720;335;Podsreda 2;ROCNO;09x4;865;18;739;10;53;21;7;7;10
R2;423;1243;BISTRICA OB SOTLI - M.P.BISTRICA;0;1.050;411;MP Bistrica ob Sotli;QLD6; ;505;4;421;2;18;6;8;19;27
R2;424;1166;BOSTANJ - ORESJE/SEVNICI;0;5.700;;;P;;1.700;5;1.610;10;75;0;0;0;0
R2;424;1166;ORESJE/SEVNICI - PLANINA;5.700;21.006;186;Podgorje;QLD5; ;523;5;435;6;39;12;21;2;3
R2;424;1170;PLANINA - DEZNO;0;1.115;;;P;;350;3;305;3;20;11;2;2;4
R2;424;1225;DEZNO - CRNOLICA;0;11.800;313;Dobje;ROCNO;06x4;1.800;15;1.560;15;120;50;25;6;9
R2;425;1265;POLJANA - MEZICA;0;3.310;323;Poljana;QLD5; ;5.100;43;4.481;49;267;91;100;36;33
R2;425;1265;MEZICA - CRNA;3.310;11.420;579;Mezica;QLD6; ;3.351;5;2.827;44;213;41;134;32;55
R2;425;1265;CRNA - SENTVID;11.420;23.786;434;Javorje;QLD5; ;278;5;238;1;18;3;11;1;1
R2;425;1266;SENTVID - SOSTANJ;0;16.605;324;Sentvid;ROCNO;08x4;870;30;757;6;30;25;15;2;5
R2;425;1267;SOSTANJ - PESJE;0;1.835;167;Sostanj;QLTC8; ;12.213;72;10.996;84;687;140;164;23;47
R2;425;1419;PESJE - VELENJE;0;3.790;166;Pesje;QLD6; ;12.029;67;10.805;111;564;168;156;62;96
