Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov < 3,5t;Sr. tov  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
R1;223;1229;BEVSKO - MOST CEZ SAVO;0;1.220;127;Trbovlje 2;QLTC10;9.353;78;8.440;75;537;82;81;20;40;134;DIST
R1;224;1230;HRASTNIK - MOST CEZ SAVO;0;1.500;584;Hrastnik 2;QLTC10;7.291;55;6.424;71;429;83;97;23;109;178;PLDP
R1;225;1140;MENGES - DUPLICA;0;3.244;259;Smarca;QLTC10;11.140;74;9.956;21;758;96;60;23;152;168;DIST
R1;225;1359;DUPLICA - KAMNIK;0;3.793;362;Kamnik;QLTC10;16.796;123;14.956;35;1.177;146;116;38;205;255;WIM
R1;225;1424;KAMNIK - MEKINJE;0;700;;;P;7.400;100;6.415;30;430;105;100;30;190;221;PLDP
R1;225;1083;KAMNIK (MEKINJE) - SP.  STRANJE;0;2.000;231;Kamnik Fuzine;QLTC10;5.993;91;5.128;27;397;59;87;21;183;194;PLDP
R1;225;1083;SP. STRANJE - STAHOVICA;2.000;4.270;;;P;4.500;70;3.915;20;280;50;80;20;65;112;PLDP
R1;225;1084;STAHOVICA - CRNIVEC;0;10.615;233;Podstudenec;QLTC10;1.770;35;1.566;17;105;18;14;5;10;27;PLDP
R1;225;1085;CRNIVEC - GORNJI GRAD;0;12.200;237;Tirosek;QLD6;869;27;724;10;69;8;15;8;8;39;DIST
R1;225;1085;GORNJI GRAD - RADMIRJE;12.200;17.571;234;Gornji Grad;QLD6;1.971;30;1.705;7;152;19;36;12;10;64;DIST
R1;225;1248;RADMIRJE - MOZIRJE;0;8.731;232;Nizka;QLD6;5.497;61;4.811;38;380;46;77;39;45;192;WIM
R1;225;1248;MOZIRJE ;8.731;11.302;139;Prihova;QLTC10;9.753;99;8.521;59;678;119;92;85;100;347;DIST
