Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip;;;
AC;A2;0011;LJ (SMARTNO  -   BROD);0;2.374;;;P;58.000;80;49.570;330;5.450;550;250;410;1.360;1.900;PLDP;;;
AC;A2;0012;LJ (BROD - SENTVID);0;510;;;P;56.400;75;47.915;320;5.450;550;290;400;1.400;1.931;PLDP;;;
AC;A2;0013;LJ (SENTVID - PODUTIK);0;3.057;832;Kamna Gorica AC;QLTC8;54.425;63;45.852;230;5.352;573;331;477;1.547;2.068;PLDP;;;
AC;A2;0013;LJ (PODUTIK - KOSEZE);3.057;3.459;;;P;52.300;60;43.840;220;5.300;540;330;470;1.540;2.040;PLDP;;;
AC;A2;0113;RAZCEP KOSEZE;0;1.010;1011;Razcep Koseze-LJsev;QLTC8;13.600;30;11.785;25;1.140;130;90;80;320;408;PLDP;;;
AC;A2;0014;RAZCEP KOSEZE - KOSEZE ;0;673;1009;R Koseze (KR-Brdo);QLTC8;38.700;50;31.970;200;4.200;420;240;390;1.230;1.646;PLDP;;;
AC;A2;0014;LJ (KOSEZE  -  BRDO);673;1.761;2402;Gric AC;QLTC8;86.700;110;71.910;330;8.700;980;580;750;3.340;4.000;PLDP;;;
AC;A2;0015;LJ (BRDO  -  KOZARJE);0;1.700;855;Bokalce AC;QLTC8;75.925;142;62.541;320;7.423;953;490;735;3.321;3.926;PLDP;;;
AC;A2;0015;LJ (KOZARJE) - RAZCEP KOZARJE;1.700;2392;1017;R Kozarje (LJBrdo-LJjug);QLTC8;38.000;35;32.885;125;3.500;390;240;275;550;1.093;PLDP;;;
AC;A2;0115;RAZCEP LJ KOZARJE;0;1.298;1015;Razcep Kozarje-KP;QLTC8;38.100;40;30.155;180;4.000;455;250;450;2.570;2.766;PLDP;;;
AC;A2;0020;LJ (MALENCE)  -  RAZCEP MALENCE;0;484;1019;R Malence (LJjug-NM);QLTC8;34.500;36;28.464;320;2.950;270;160;470;1.830;2.201;PLDP;;;
AC;A2;0020;RAZCEP MALENCE  -  SMARJE-SAP;484;6.038;645;Smarje Sap AC;QLTC8;56.831;103;47.728;374;4.784;558;283;660;2.341;2.929;PLDP;;;
AC;A2;0407;PRIKLJ. SMARJE - SAP NM;0;926;876;Priklj. Smarje Sap-NM;Prazno;2.800;15;2.400;5;260;35;35;15;35;66;PLDP;;;
AC;A2;0021;SMARJE SAP - CIKAVA;0;1.779;2303;Cikava AC;QLTC8;56.100;80;47.360;350;4.700;450;260;600;2.300;2.791;PLDP;;;
AC;A2;0021;CIKAVA - GROSUPLJE;1.779;3.873;1014;Hrastje AC;QLTC8;46.200;80;38.010;330;4.300;430;240;580;2.230;2.692;PLDP;;;
AC;A2;0022;GROSUPLJE - VISNJA GORA;0;6.740;;;P;43.000;100;35.150;330;4.000;420;220;580;2.200;2.658;PLDP;;;
AC;A2;0022;VISNJA GORA - IVANCNA GORICA;6.740;13.061;601;Visnja Gora AC;QLTC8;41.314;107;33.997;329;3.503;414;215;583;2.166;2.629;PLDP;;;
