Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
AC;A2;0004;LESCE - RADOVLJICA;0;3.780;1036;Radovljica AC;QLTC8;31.452;71;25.950;302;3.135;240;150;379;1.225;1.627;PLDP
AC;A2;0004;RADOVLJICA - BREZJE;3.780;6.713;1035;Brezje AC;QLTC8;38.000;28;32.937;250;2.755;250;180;360;1.240;1.600;PLDP
AC;A2;0005;BREZJE - PODTABOR;0;5.002;1034;Ljubno AC;QLTC8;39.500;45;33.015;400;3.900;330;190;390;1.230;1.752;PLDP
AC;A2;0006;PODTABOR - NAKLO;0;3.567;;;P;49.200;100;42.700;300;3.900;340;200;360;1.300;1.720;PLDP
AC;A2;0006;NAKLO - KRANJ Z;3.567;7.313;647;Naklo AC;QLTC8;44.499;130;37.973;288;3.965;339;254;354;1.196;1.643;PLDP
AC;A2;0007;KRANJ Z - KRANJ V;0;5.674;1033;Kranj Z - Kranj V;QLTC8;40.200;45;33.315;320;4.200;400;220;380;1.320;1.792;PLDP
AC;A2;0008;KRANJ V  -  BRNIK;0;3.900;1032;Voklo AC;QLTC8;47.300;50;39.577;360;5.133;390;180;370;1.240;1.733;PLDP
AC;A2;0009;BRNIK  -  VODICE;0;5.246;850;Voglje AC;QLTC8;51.660;41;43.534;341;5.472;398;205;385;1.284;1.779;PLDP
AC;A2;0010;VODICE  - LJ ( SMARTNO);0;6.968;853;Povodje AC;QLTC8;56.843;61;48.168;377;5.678;568;220;415;1.356;1.943;PLDP
AC;A2;0011;LJ (SMARTNO  -   BROD);0;2.374;;;P;59.400;60;50.700;350;5.700;575;235;420;1.360;1.939;PLDP
AC;A2;0012;LJ (BROD - SENTVID);0;510;;;P;57.800;65;48.880;340;5.800;575;280;410;1.450;2.012;PLDP
AC;A2;0013;LJ (SENTVID - PODUTIK);0;3.057;832;Kamna Gorica AC;QLTC8;57.930;64;48.703;235;5.910;581;343;490;1.604;2.150;PLDP
AC;A2;0013;LJ (PODUTIK - KOSEZE);3.057;3.459;;;P;56.000;60;46.940;230;5.850;550;340;480;1.550;2.084;PLDP
AC;A2;0113;RAZCEP KOSEZE;0;1.010;1011;Razcep Koseze-LJsev;QLTC8;14.196;24;12.318;26;1.193;132;98;82;323;419;PLDP
AC;A2;0014;RAZCEP KOSEZE - KOSEZE ;0;673;1009;R Koseze (KR-Brdo);QLTC8;39.593;50;32.647;213;4.334;431;246;398;1.274;1.713;PLDP
AC;A2;0014;LJ (KOSEZE  -  BRDO);673;1.761;2402;Gric AC;QLTC8;89.806;105;75.158;326;8.734;959;596;728;3.200;3.890;PLDP
AC;A2;0015;LJ (BRDO  -  KOZARJE);0;1.700;855;Bokalce AC;QLTC8;78.610;114;64.949;330;7.840;975;468;747;3.187;3.855;PLDP
AC;A2;0015;LJ (KOZARJE) - RAZCEP KOZARJE;1.700;2.392;1017;R Kozarje (LJBrdo-LJjug);QLTC8;38.458;37;33.019;132;3.635;391;239;275;730;1.107;PLDP
AC;A2;0115;RAZCEP LJ KOZARJE;0;1.298;1015;Razcep Kozarje-KP;QLTC8;39.035;77;31.024;184;4.127;458;251;440;2.474;2.696;PLDP
AC;A2;0020;LJ (MALENCE)  -  RAZCEP MALENCE;0;484;1019;R Malence (LJjug-NM);QLTC8;35.141;38;28.691;333;3.106;284;170;507;2.012;2.401;PLDP
AC;A2;0020;RAZCEP MALENCE  -  SMARJE-SAP;484;6.038;645;Smarje Sap AC;QLTC8;58.761;102;49.186;388;4.967;564;324;679;2.551;3.151;PLDP
AC;A2;0407;PRIKLJ. SMARJE - SAP NM;0;926;876;Priklj. Smarje Sap-NM;PRAZNO;2.850;15;2.402;8;270;35;30;55;35;99;PLDP
AC;A2;0021;SMARJE SAP - CIKAVA;0;1.779;2303;Cikava AC;PRAZNO;57.000;30;47.920;370;4.800;460;290;630;2.500;3.015;PLDP
AC;A2;0021;CIKAVA - GROSUPLJE;1.779;3.873;1014;Hrastje AC;QLTC8;46.999;31;38.408;348;4.450;448;274;610;2.430;2.918;PLDP
AC;A2;0022;GROSUPLJE - VISNJA GORA;0;6.740;;;P;43.300;100;35.275;330;4.000;400;255;570;2.370;2.803;PLDP
AC;A2;0022;VISNJA GORA - IVANCNA GORICA;6.740;13.061;601;Visnja Gora AC;QLTC8;41.593;105;34.258;310;3.400;380;250;560;2.330;2.740;PLDP
AC;A2;0023;IVANCNA GORICA - BIC;0;6.889;870;Dob AC;QLTC8;32.250;57;25.701;276;3.189;320;165;641;1.901;2.389;PLDP
AC;A2;0072;BIC - TREBNJE Z;0;7.403;;;P;31.600;60;25.410;270;2.800;280;160;520;2.100;2.432;PLDP
AC;A2;0072;TREBNJE Z - TREBNJE V;7.403;14.383;;;P;26.800;30;20.810;260;2.700;270;170;510;2.050;2.378;PLDP
AC;A2;0024;TREBNJE V - PRIKLJ. MIRNA PEC;0;4.557;;;P;31.500;40;25.165;280;3.000;260;145;510;2.100;2.421;PLDP
AC;A2;0024;PRIKLJ. MIRNA PEC  -  NM PRIKLJ. Z;4.557;10.845;806;Zagorica AC;QLTC8;31.020;38;24.478;289;3.093;275;166;492;2.189;2.496;PLDP
AC;A2;0024;NM PRIKLJ. Z - NM PRIKLJ. V;10.845;13.168;;;P;24.400;40;18.370;260;3.000;220;140;370;2.000;2.201;PLDP
AC;A2;0025;NM PRIKLJ.V - KRONOVO;0;6.338;1021;Novo mesto V AC;QLTC8;26.066;13;20.695;273;2.352;231;143;387;1.972;2.204;PLDP
