Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;ZAPORED
HC;H2;0033;MARIBOR-TEZNO;0;2.665;15;O;QLD6;x;MARIBOR HC;39.824;60;34.774;300;1.692;704;508;1.786;206
HC;H3;0085;LJ(ZADOBROVA-SMARTINSKA);0;1.455;179;O;QLD6;x;SV OBVOZNICA;51.206;64;45.840;104;2.646;780;736;1.036;210
HC;H3;0086;LJ(SMARTINSKA-TOMACEVO);0;2.086;174;P;;;;61.492;104;54.500;114;3.210;1.072;790;1.702;214
HC;H3;0088;LJ(TOMACEVO - DUNAJSKA);0;1.140;174;P;;;;76.000;128;67.368;138;3.966;1.324;978;2.098;216
HC;H3;0089;LJ(DUNAJSKA - CELOVSKA);0;2.650;174;O;QLD6;x;S OBVOZNICA;53.182;72;47.750;72;2.732;800;648;1.108;219
HC;H3;0090;LJ(CELOVSKA - KOSEZE);0;1.880;170;P;;;;64.000;140;55.664;236;4.120;1.156;892;1.792;224
HC;H4;0375;VIPAVA-AJDOVSCINA;0;6.750;635;P;;;;9.500;24;6.980;26;640;694;194;942;229
HC;H4;0376;AJDOVSCINA-SELO;0;9.115;635;O;QLD6;x;AJDOVSCINA HC;9.434;8;7.326;24;576;264;220;1.016;232
HC;H4;0378;SELO - VOGRSKO;0;6.730;816;O;QLD6;98x4;SELO HC;8.780;12;6.758;72;550;208;180;1.000;235
HC;H4;0379;VOGRSKO-SEMPETER;0;4.780;815;O;QLD3;98x4;CP BAZARA;2.662;8;1.701;6;111;117;116;603;239
HC;H4;0380;SEMPETER-MP VRTOJBA;0;2.200;671;O;QLD3;98x4;MP VRTOJBA;4.712;6;3.944;56;706;0;0;0;242
HC;H4;1467;KAMIONSKA CESTA VRTOJBA;0;1.878;671;B;QLD3;98x4;MP VRTOJBA;1.556;0;0;0;0;168;177;1.211;244
G1;1;0240;MP VIC-DRAVOGRAD;0;3.590;663;O;QLD3;00x4;MP VIC;1.034;12;932;9;14;18;4;45;245
