Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;Dnevni NOO;Tip
R2;430;0274;SLIVNICA - FRAM;0;4.810;906;Radizel;QLD*;7.317;135;6.690;54;376;27;24;4;7;47;PLDP
R2;430;0274;FRAM - SL.BISTRICA;4.810;13.060;38;Bukovec;QLD;6.488;128;5.811;49;386;52;43;7;12;65;PLDP
R2;430;1452;ODCEP PRIKLJ. SL. BISTRICA S ;0;1.080;570;Brinje;R 11x4;4.300;50;3.881;15;190;90;24;15;35;68;PLDP
R2;430;0275;SL.BISTRICA ;0;2.626;;;P;13.900;135;13.110;60;250;225;60;20;40;138;PLDP
R2;430;0276; SL.BISTRICA - LOŽNICA;0;1.593;569;Slovenska Bistica;QLTC8;7.889;133;6.895;48;510;158;78;23;44;133;PLDP
R2;430;0277;LOŽNICA - TEPANJE;0;7.910;608;Vrhole;QLD*;2.790;89;2.292;27;178;80;72;17;35;96;PLDP
R2;430;0278;TEPANJE - SL.KONJICE;0;3.154;48;Dobrnež;QLTC10;11.417;141;9.815;61;904;198;87;52;159;241;PLDP
R2;430;0279;SL.KONJICE ;0;815;;;P;11.800;135;10.180;140;800;215;155;45;130;289;PLDP
R2;430;0280;SL.KONJICE - DOBRAVA;0;3.000;49;Zeče 2;QLTC10;11.940;139;10.455;93;799;206;89;36;123;255;DIST
R2;430;0280;DOBRAVA - STRANICE;3.000;5.160;56;Zeče;QLTC10;8.605;129;7.390;59;638;177;73;30;109;209;DIST
R2;430;0281;STRANICE - VIŠNJA VAS;0;10.200;67;Stranice;QLTC10;5.707;109;4.871;48;392;124;60;21;82;159;WIM
R2;430;0282;VIŠNJA VAS - CELJE AC;0;6.100;68;Vojnik;QLD*;14.913;171;13.387;80;901;168;92;26;88;210;DIST
R2;430;0282;CELJE AC - CELJE;6.100;8.042;695;CE Hudinja;QLTC10;28.078;142;24.717;135;1.892;362;172;128;530;627;PLDP
R2;431;1350;GORNJI DOLIČ - STRANICE;0;18.621;377;Vitanje;QLD*;2.854;33;2.439;19;237;43;40;11;32;64;PLDP
R2;432;1440;ROGATEC;0;170;414;MP Rogatec;QLTC44;1.559;8;1.401;8;66;14;22;18;22;42;PLDP
R2;432;1284;ROGATEC - MAJŠPERK;0;16.081;336;Stoperce;QLD6;1.116;17;988;9;70;9;15;4;4;18;PLDP
R2;432;1411;MAJŠPERK ;0;480;;;P;3.200;25;2.750;45;265;70;20;10;15;59;PLDP
R2;432;1285;MAJŠPERK - APAŠKI KRIŽ;0;7.542;441;Lovrenc;QLD*;4.917;53;4.460;35;244;40;46;14;25;70;PLDP
R2;432;6276;APAŠKI KRIŽ  -  KIDRIČEVO;0;2.874;586;Kidričevo;QLD*;5.901;23;5.287;44;353;57;69;18;50;107;PLDP
