Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.
G2;102;1031;MP ROBIČ-STARO SELO;0;5.630;655;O;QLD3; ;MP ROBIČ;662;0;650;3;3;6;0;0
G2;102;1030;STARO SELO-KOBARID;0;3.320;212;O;;00x4;KOBARID;2.400;25;2.205;13;71;43;36;7
G2;102;1005;KOBARID-IDRSKO;0;2.200;679;O;QLD6; ;IDRSKO;3.874;86;3.456;22;176;68;36;30
G2;102;1006;IDRSKO-PRŠETI;0;11.525;97;O;;x;IDRSKO;4.000;40;3.665;20;150;60;30;35
G2;102;1040;PERŠETI-MOST NA SOČI;0;7.417;405;O;QLD6; ;PRAPRETNO;4.454;3;4.014;32;206;95;67;37
G2;102;1039;MOST NA SOČI-BAČA;0;2.130;405;P; ; ; ;3.500;22;3.066;35;200;87;60;30
G2;102;1038;BAČA-DOL. TREBUŠA;0;8.500;104;O;;03x4;IDRIJA PRI BAČI;2.936;52;2.472;33;217;89;40;33
G2;102;1037;DOL TREBUŠA-ŽELIN;0;13.118;440;O;;03x4;ŽELIN 2;1.843;27;1.527;21;136;56;43;33
G2;102;1036;ŽELIN-SPODNJA IDRIJA(MAROF);0;11.300;447;O;;03x4;ŽELIN 3;2.475;27;2.118;40;160;63;30;37
G2;102;1035;SPODNJA IDRIJA;0;1.900;617;P; ; ; ;2.900;21;2.536;33;156;83;27;44
G2;102;1034;SP. IDRIJA-GODOVIČ;0;13.277;617;O;QLD6;03x4;IDRIJA;4.064;44;3.566;42;222;80;52;58
G2;102;1033;GODOVIČ-KALCE;0;11.233;100;O;QLD6;03x4;HOTEDRŠICA;3.563;30;2.968;54;227;104;84;96
G2;102;1460;KALCE-LOGATEC;0;3.490;74;O;;03x4;KALCE;8.707;171;7.383;105;493;310;68;177
G2;102;1461;LOGATEC;0;1.672;395;O;;03x4;LOGATEC;4.693;16;3.873;37;354;154;64;195
G2;103;1007;PERŠETI-UŠNIK;0;4.080;616;P; ; ; ;3.300;36;2.712;24;191;171;99;67
G2;103;1008;UŠNIK-PLAVE;0;20.070;616;O;QLD6; ;DOBLAR;3.332;60;2.846;22;196;88;66;54
G2;103;1009;PLAVE-SOLKAN;0;10.070;99;O;QLD6; ;SOLKAN;6.536;52;5.862;28;240;104;80;170
G2;103;1010;SOLKAN-NG(KROMBERŠKA C.);0;2.500;99;P; ; ; ;15.166;111;14.232;48;370;114;101;190
G2;103;1010;NG(KROMBERŠKA .-ROŽNA DOLINA;2.500;5.192;222;O;QLD6; ;PANOVEC;24.318;83;22.797;145;729;282;116;166
G2;103;1447;NG(R. DOLINA) - ŠEMPETER AC;0;2.315;227;O;QLD6; ;ŠEMPETER RD;9.903;45;9.115;24;353;138;66;162
G2;104;1136;KRANJ-LETALIŠČE BRNIK;0;6.000;200;O;QLD6; ;KR PRIMSKOVO 1;20.092;60;18.452;121;958;251;121;129
G2;104;1136;LETALIŠČE BRNIK-SP.BRNIK;6.000;8.330;627;O;QLD6;03x1;BRNIK;14.301;64;12.534;88;875;342;194;204
G2;104;1137;SP.BRNIK-MOSTE;0;5.953;627;P; ; ; ;10.500;39;8.888;74;755;384;170;190
G2;104;1138;MOSTE-MENGEŠ;0;3.900;115;O;;02x4;TOPOLE;9.000;26;7.571;64;645;354;165;175
G2;104;1139;MENGEŠ-TRZIN;0;4.158;116;O;QLD6; ;LOKA;16.857;38;14.970;64;973;348;244;220
G2;104;0295;TRZIN-LJ(ČRNUČE);0;3.687;73;O;QLD6;03x1;TRZIN;32.334;80;29.092;192;1.790;452;380;348
G2;104;0087;LJ(ČRNUČE - BRNČIČEVA);0;1.000;172;O;QLD6;03x1;S VPADNICA;34.976;76;31.568;68;2.020;512;408;324
G2;104;0087;LJ(BRNČIČEVA - TOMAČEVO);1.000;2.970;172;P; ; ; ;36.700;70;32.582;124;2.200;704;520;500
G2;105;0252;KARTELJEVO-NM(BUČNA VAS);0;3.025;63;O;QLD3;03x1;NM BUČNA VAS;9.632;82;8.465;78;611;220;69;107
G2;105;0399;NOVO MESTO (BUČNA VAS-KRKA);0;2.096;118;O;QLD6;03x1;NM OBVOZNICA;9.021;14;7.994;14;447;272;154;126
G2;105;0255;NOVO MESTO(KRKA-REVOZ);0;1.805;177;O;QLD6; ;NM ŽABJA VAS;11.872;35;10.272;107;589;315;174;380
G2;105;0256;NOVO MESTO(REVOZ)-METLIKA;0;26.301;607;O;QLD6;03x1;GORJANCI;3.796;24;3.206;32;254;84;76;120
G2;105;0258;METLIKA-MP METLIKA;0;1.480;155;O;QLD3; ;MP METLIKA;2.751;5;2.540;15;70;18;9;94
G2;105;0259;MAČKOVEC-NM(KRKA);0;1.710;159;O;QLD6;03x1;NM KRKA;16.123;29;14.200;172;732;300;234;456
G2;106;0215;LJ(RUDNIK)-ŠKOFLJICA;0;4.555;6;O;QLD6; ;ŠKOFLJICA;16.394;40;14.727;148;795;318;184;182
G2;106;0260;ŠKOFLJICA;0;520;117;P; ; ; ;13.500;37;12.418;99;463;218;116;149
G2;106;0261;ŠKOFLJICA-RAŠICA;0;16.290;117;O;QLD6; ;ŽELIMLJE;7.476;36;6.662;72;374;136;82;114
G2;106;0262;RAŠICA-ŽLEBIČ;0;12.425;410;O;QLD6; ;ŽLEBIČ;6.000;3;5.337;59;325;89;96;91
G2;106;0263;ŽLEBIČ-BREG;0;2.300;410;P; ; ; ;6.500;30;5.778;80;334;110;80;88
G2;106;0263;BREG-HROVAČA;2.300;4.500;410;P; ; ; ;8.000;37;7.220;90;350;115;80;108
G2;106;0263;HROVAČA-DOLENJA VAS;4.500;9.490;410;P; ; ; ;5.500;25;4.934;93;196;152;26;74
G2;106;0263;DOLENJA VAS-KOČEVJE;9.490;18.945;619;O;QLD6; ;STARA CERKEV;5.576;46;4.949;56;257;106;57;105
G2;106;0264;KOČEVJE-LIVOLD;0;6.142;119;P; ; ; ;2.500;63;2.220;26;84;35;53;19
G2;106;0265;LIVOLD-ŠTALCERJI;0;6.200;119;O;;00x1;ŠTALCERJI;1.307;0;1.209;10;48;13;13;14
G2;106;0265;ŠTALCERJI-FARA;6.200;21.580;507;P; ; ; ;1.000;5;989;3;3;0;0;0
G2;106;0266;FARA-MP PETRINA;0;2.560;507;O;QLD3; ;MP PETRINA;804;4;796;2;2;0;0;0
G2;106;0216;ŠKOFLJICA-ŠMARJE SAP;0;2.461;6;P; ; ; ;3.500;13;3.131;44;144;79;47;42
G2;107;1274;CE(VZHODNA M.)-ŠTORE;0;4.500;134;P; ; ; ;14.200;18;13.029;129;505;222;121;176
G2;107;1274;ŠTORE- ŠENTJUR;4.500;10.868;134;O;QLD6; ;ŠENTJUR;10.929;34;9.984;90;417;156;106;142
G2;107;1275;ŠENTJUR-MESTINJE;0;14.307;622;O;QLD6; ;STOPČE;8.449;26;7.533;44;348;146;112;240
G2;107;1238;MESTINJE-PODPLAT;0;2.060;622;P; ; ; ;7.200;41;6.382;54;296;136;62;229
G2;107;1276;PODPLAT-ROG. SLATINA;0;2.450;136;O;;00x4;ROGAŠKA SLATINA;8.000;36;7.068;61;279;237;71;248
G2;107;1276;ROG. SLATINA - ROGATEC;2.450;12.500;687;O;QLD6; ;CEROVEC;3.097;8;2.600;12;143;86;68;180
G2;107;1277;ROGATEC;0;2.000;337;P; ; ; ;2.300;0;1.854;54;114;32;60;186
G2;107;1277;ROGATEC-MP DOBOVEC;2.000;7.865;337;O;QLD3; ;MP DOBOVEC;1.092;0;800;22;48;32;30;160
