Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;NOO;Tip
R1;223;1229;BEVSKO - MOST ČEZ SAVO;0;1.220;127;Trbovlje 2;R 04x4;10.300;45;9.370;80;435;105;80;55;130;2.096.466;PLDP
R1;224;1230;HRASTNIK - MOST ČEZ SAVO;0;1.500;584;Hrastnik-most;R 07x1;8.500;10;7.510;90;380;145;160;70;135;2.740.959;PLDP
R1;225;1140;MENGEŠ - DUPLICA;0;3.805;259;Šmarca;QLD;9.594;51;8.638;23;597;80;114;37;54;998.341;DIST
R1;225;1359;DUPLICA - KAMNIK;0;3.793;362;Kamnik;QLD5;17.204;133;15.383;47;1.006;196;275;50;114;2.572.097;WIM
R1;225;1424;KAMNIK - MEKINJE;0;700;;;P;7.200;60;6.410;30;290;125;130;35;120;1.986.977;PLDP
R1;225;1083;KAMNIK (MEKINJE) - SP.  STRANJE;0;2.000;231;Kamnik Fužine;QLD6;5.424;74;4.680;35;292;79;100;42;122;1.298.441;DIST
R1;225;1083;SPODNJE STRANJE - STAHOVICA;2.000;4.270;;;P;4.250;65;3.665;35;200;115;85;40;45;1.328.799;PLDP
R1;225;1084;STAHOVICA - ČRNIVEC;0;10.615;233;Črna;R 08x4;2.150;35;1.785;15;125;125;35;10;20;673.109;PLDP
R1;225;1085;ČRNIVEC - GORNJI GRAD;0;12.200;237;Tirosek;QLD;884;33;740;9;62;9;17;8;6;227.687;PLDP
R1;225;1085;GORNJI GRAD - RADMIRJE;12.200;17.571;234;Gornji Grad;QLD3;2.059;24;1.815;11;126;26;37;10;10;406.851;PLDP
R1;225;1248;RADMIRJE - MOZIRJE;0;8.731;232;Nizka;QLD6;5.440;69;4.788;44;321;65;81;35;37;693.962;WIM
R1;225;1248;MOZIRJE;8.731;11.302;139;Mozirje;R 08x4;10.400;85;9.290;70;510;170;110;75;90;2.208.444;PLDP
R1;225;1247;MOZIRJE - SOTESKA;0;2.339;577;Ljubija;R 07x1;9.100;75;7.985;65;500;140;140;85;110;2.463.504;PLDP
R1;225;1246;SOTESKA - LETUŠ;0;3.300;34;Letuš 2;QLD6;5.086;3;4.388;49;356;74;87;62;67;1.590.080;PLDP
R1;225;1246;LETUŠ - M.BRASLOVČE;3.300;6.050;138;Letuš;QLD6;7.902;83;6.823;51;492;97;162;81;113;2.421.948;PLDP
R1;225;1246;M.BRASLOVČE - PARIŽLJE;6.050;8.390;;;P;7.500;80;6.500;30;430;110;165;75;110;2.317.933;PLDP
R1;225;1246;PARIŽLJE - ŠENTRUPERT;8.390;12.200;37;Orla vas;QLTC10;9.184;91;7.900;26;688;163;116;78;122;2.255.972;PLDP
